,Timestamp,Bonded_Ratio,Date
0,1648771200,60.48,2022-04-01
1,1648857600,60.59,2022-04-02
2,1648944000,60.6,2022-04-03
3,1649030400,60.6,2022-04-04
4,1649116800,60.67,2022-04-05
5,1649203200,62.0,2022-04-06
6,1649289600,64.14,2022-04-07
7,1649376000,64.14,2022-04-08
8,1649462400,64.01,2022-04-09
9,1649548800,64.2,2022-04-10
10,1649635200,64.2,2022-04-11
11,1649721600,64.12,2022-04-12
12,1649808000,63.74,2022-04-13
13,1649894400,61.47,2022-04-14
14,1649980800,61.75,2022-04-15
15,1650067200,61.97,2022-04-16
16,1650153600,61.94,2022-04-17
17,1650240000,61.97,2022-04-18
18,1650326400,62.14,2022-04-19
19,1650412800,62.21,2022-04-20
20,1650499200,62.18,2022-04-21
21,1650585600,62.13,2022-04-22
22,1650672000,62.05,2022-04-23
23,1650758400,62.13,2022-04-24
24,1650844800,62.17,2022-04-25
25,1650931200,62.22,2022-04-26
26,1651017600,62.18,2022-04-27
27,1651104000,62.14,2022-04-28
28,1651190400,62.16,2022-04-29
29,1651276800,62.17,2022-04-30
