Date,Index,Timestamp,Marketcap,Price,Date,Circ_Supply,Bonded_Ratio
2022-04-01,16,1648854114319,8618663285.667263,29.557642074668312,2022-04-01 23:01:54.319,293126824.18317693,60.48
2022-04-02,40,1648940492233,9522899500.44738,32.66321128016362,2022-04-02 23:01:32.233,292607830.9943956,60.59
2022-04-03,64,1649026866793,9682947033.663012,33.06083639539066,2022-04-03 23:01:06.793,294255876.1056234,60.6
2022-04-04,88,1649113352351,9476605321.36405,32.47037635673596,2022-04-04 23:02:32.351,294548415.3880568,60.6
2022-04-05,112,1649199746657,9070967843.349655,30.98522033281407,2022-04-05 23:02:26.657,293185430.74577403,60.67
2022-04-06,136,1649286183923,8619268358.278814,29.337570499612795,2022-04-06 23:03:03.923,293796255.5008628,62.0
2022-04-07,160,1649372534044,8083752069.948417,27.73680805928204,2022-04-07 23:02:14.044,293348782.22588646,64.14
2022-04-08,184,1649458945499,8371752872.545298,28.720583196046167,2022-04-08 23:02:25.499,293988642.7861397,64.14
2022-04-09,208,1649545351410,8009736805.9929,27.29850715147481,2022-04-09 23:02:31.410,293936760.1545379,64.01
2022-04-10,232,1649631775546,7988945988.817781,27.39065192873442,2022-04-10 23:02:55.546,293251819.60955405,64.2
2022-04-11,256,1649718085763,7844523395.245529,26.65897717746872,2022-04-11 23:01:25.763,294728520.6756928,64.2
2022-04-12,280,1649804569209,7382830117.866297,25.216044949825623,2022-04-12 23:02:49.209,294556332.76286936,64.12
2022-04-13,304,1649890875498,7337945192.669152,25.054916482833697,2022-04-13 23:01:15.498,294617773.099427,63.74
2022-04-14,328,1649977227231,7320411595.687065,25.02436282369101,2022-04-14 23:00:27.231,294658952.5275154,61.47
2022-04-15,352,1650063721474,7119367826.481751,24.324714790474093,2022-04-15 23:02:01.474,293351205.4022437,61.75
2022-04-16,376,1650150134388,7145806987.939451,24.43392547398891,2022-04-16 23:02:14.388,292911844.6270226,61.97
2022-04-17,400,1650236468123,7129776098.606758,24.365735025082184,2022-04-17 23:01:08.123,293590395.5837407,61.94
2022-04-18,424,1650322943265,7001013920.194411,23.915951341789185,2022-04-18 23:02:23.265,293519318.0968804,61.97
2022-04-19,448,1650409267436,7211037587.150746,24.60080601383085,2022-04-19 23:01:07.436,293295842.9674007,62.14
2022-04-20,472,1650495970160,7312864118.776214,24.998201170974067,2022-04-20 23:06:10.160,293996387.68686515,62.21
2022-04-21,496,1650582188994,7254082211.598212,24.74807559970134,2022-04-21 23:03:08.994,293974767.24875456,62.18
2022-04-22,520,1650668611885,6961231127.23829,23.795965118322595,2022-04-22 23:03:31.885,293412687.8818409,62.13
2022-04-23,544,1650754959950,6844316292.361509,23.366927823486247,2022-04-23 23:02:39.950,293142762.3699412,62.05
2022-04-24,568,1650841422415,6811441486.137841,23.289780251122103,2022-04-24 23:03:42.415,293624490.5490523,62.13
2022-04-25,592,1650927807427,6552225345.401548,22.331863906347955,2022-04-25 23:03:27.427,294599235.5778076,62.17
2022-04-26,616,1651014207657,6511915096.75511,22.25109300430308,2022-04-26 23:03:27.657,294760498.0053055,62.22
2022-04-27,640,1651100765384,6375095609.415768,21.814081597850222,2022-04-27 23:06:05.384,293322492.2338701,62.18
2022-04-28,665,1651186980139,6331149685.62284,21.4994483196208,2022-04-28 23:03:00.139,295405285.1073143,62.14
2022-04-29,689,1651273238006,6090183102.569403,20.82766269947773,2022-04-29 23:00:38.006,296328892.01581836,62.16
2022-04-30,696,1651298618878,5710050969.944628,19.50102216907159,2022-04-30 06:03:38.878,293243607.2124789,62.17
