,Timestamp,Bonded_Ratio,Date
0,1643673600,62.51,2022-02-01
1,1643760000,62.73,2022-02-02
2,1643846400,62.88,2022-02-03
3,1643932800,62.99,2022-02-04
4,1644019200,63.0,2022-02-05
5,1644105600,62.99,2022-02-06
6,1644192000,63.03,2022-02-07
7,1644278400,63.22,2022-02-08
8,1644364800,63.37,2022-02-09
9,1644451200,63.44,2022-02-10
10,1644537600,63.46,2022-02-11
11,1644624000,63.54,2022-02-12
12,1644710400,63.58,2022-02-13
13,1644796800,63.63,2022-02-14
14,1644883200,63.74,2022-02-15
15,1644969600,63.81,2022-02-16
16,1645056000,63.89,2022-02-17
17,1645142400,63.91,2022-02-18
18,1645228800,64.04,2022-02-19
19,1645315200,64.11,2022-02-20
20,1645401600,64.1,2022-02-21
21,1645488000,63.77,2022-02-22
22,1645574400,60.21,2022-02-23
23,1645660800,60.31,2022-02-24
24,1645747200,60.05,2022-02-25
25,1645833600,60.08,2022-02-26
26,1645920000,60.18,2022-02-27
27,1646006400,60.2,2022-02-28
