Date,Index,Timestamp,Marketcap,Price,Date,Circ_Supply,Bonded_Ratio
2022-01-01,15,1641078418498,10560602266.62324,37.00195587850743,2022-01-01 23:06:58.498,286899686.2367407,59.14
2022-01-02,39,1641164596746,10364944641.723448,36.49706992286075,2022-01-02 23:03:16.746,286742579.3703101,59.22
2022-01-03,63,1641250976695,11227151486.05386,39.42916392545172,2022-01-03 23:02:56.695,288913094.2424492,59.33
2022-01-04,87,1641337225658,12275004299.240047,43.065853412849386,2022-01-04 23:00:25.658,291989208.2325743,59.34
2022-01-05,111,1641423689576,12275004299.240047,42.494997493299806,2022-01-05 23:01:29.576,291998587.873863,59.27
2022-01-06,135,1641510156112,11759543991.712996,40.72825463076937,2022-01-06 23:02:36.112,289431540.50721943,59.25
2022-01-07,159,1641596512428,12617270494.877142,43.97692478642263,2022-01-07 23:01:52.428,289004250.9846384,59.15
2022-01-08,183,1641682888293,11420723658.72368,39.9255543514328,2022-01-08 23:01:28.293,291598905.2656684,58.85
2022-01-09,207,1641769478323,10865096401.155592,38.0343344375207,2022-01-09 23:04:38.323,287568395.9940074,59.05
2022-01-10,231,1641855773609,10786213112.015764,37.84126577885239,2022-01-10 23:02:53.609,288462698.0038742,58.85
2022-01-11,255,1641942293363,11189316880.941942,39.35656681486304,2022-01-11 23:04:53.363,288483121.30181015,58.92
2022-01-12,279,1642028535753,12027438584.020432,42.11350528764133,2022-01-12 23:02:15.753,288775791.31898683,59.06
2022-01-13,303,1642115049092,11746253615.69546,41.02650122439405,2022-01-13 23:04:09.092,288089633.93732923,59.25
2022-01-14,327,1642201522703,11503694330.660982,40.35926570901566,2022-01-14 23:05:22.703,290011291.676431,59.1
2022-01-15,351,1642287975912,11657165895.864832,40.78205202972931,2022-01-15 23:06:15.912,287182318.62186295,57.96
2022-01-16,375,1642374058279,12488917941.570305,43.65171175154096,2022-01-16 23:00:58.279,287646444.2579171,58.56
2022-01-17,399,1642460521919,12451582328.282324,43.59360265591709,2022-01-17 23:02:01.919,289178418.06492794,61.4
2022-01-18,423,1642546928133,11390647452.632704,39.80521956881955,2022-01-18 23:02:08.133,288624123.97215194,62.13
2022-01-19,447,1642633365817,10999698704.829874,38.47442870392976,2022-01-19 23:02:45.817,288168130.2616575,62.21
2022-01-20,471,1642719711448,11967875732.540943,41.90283834581941,2022-01-20 23:01:51.448,290651691.9283126,62.21
2022-01-21,495,1642806144678,11643868910.713198,40.63238460827133,2022-01-21 23:02:24.678,290881459.8659984,62.19
2022-01-22,519,1642892551718,9915796503.498878,34.596958874767935,2022-01-22 23:02:31.718,292281922.888955,62.25
2022-01-23,543,1642978926041,9721485377.377066,33.761830859664286,2022-01-23 23:02:06.041,288799157.7475183,62.26
2022-01-24,567,1643065362455,10456839243.486843,37.11914470664024,2022-01-24 23:02:42.455,291156376.93326074,62.16
2022-01-25,591,1643152172012,10624628051.836432,37.124084234855886,2022-01-25 23:09:32.012,292746748.2584754,62.2
2022-01-26,615,1643239382069,10331276974.018904,35.974089571112145,2022-01-26 23:23:02.069,296137611.3646053,62.19
2022-01-27,638,1643324432901,9332090859.03962,32.50256922943304,2022-01-27 23:00:32.901,295910341.3406365,62.17
2022-01-28,662,1643410896076,8662299700.286915,30.18353916305386,2022-01-28 23:01:36.076,289762015.7381699,62.09
2022-01-29,686,1643497272805,8670117473.887976,30.20358072343768,2022-01-29 23:01:12.805,289942424.31663036,62.21
2022-01-30,710,1643583659236,8379304928.248502,29.221966221942843,2022-01-30 23:00:59.236,288632537.5454791,62.21
2022-01-31,718,1643612554995,7834653893.125428,27.29021994639074,2022-01-31 07:02:34.995,288542145.2074603,62.24
