,Timestamp,Bonded_Ratio,Date
0,1640995200,59.14,2022-01-01
1,1641081600,59.22,2022-01-02
2,1641168000,59.33,2022-01-03
3,1641254400,59.34,2022-01-04
4,1641340800,59.27,2022-01-05
5,1641427200,59.25,2022-01-06
6,1641513600,59.15,2022-01-07
7,1641600000,58.85,2022-01-08
8,1641686400,59.05,2022-01-09
9,1641772800,58.85,2022-01-10
10,1641859200,58.92,2022-01-11
11,1641945600,59.06,2022-01-12
12,1642032000,59.25,2022-01-13
13,1642118400,59.1,2022-01-14
14,1642204800,57.96,2022-01-15
15,1642291200,58.56,2022-01-16
16,1642377600,61.4,2022-01-17
17,1642464000,62.13,2022-01-18
18,1642550400,62.21,2022-01-19
19,1642636800,62.21,2022-01-20
20,1642723200,62.19,2022-01-21
21,1642809600,62.25,2022-01-22
22,1642896000,62.26,2022-01-23
23,1642982400,62.16,2022-01-24
24,1643068800,62.2,2022-01-25
25,1643155200,62.19,2022-01-26
26,1643241600,62.17,2022-01-27
27,1643328000,62.09,2022-01-28
28,1643414400,62.21,2022-01-29
29,1643500800,62.21,2022-01-30
30,1643587200,62.24,2022-01-31
