Date,Index,Timestamp,Marketcap,Price,Date,Circ_Supply,Bonded_Ratio
2022-07-01,4,1656716535735,2426199461.205749,8.332885335136176,2022-07-01 23:02:15.735,294130800.3193671,62.23
2022-07-02,28,1656802846351,2441156275.008694,8.230646512664054,2022-07-02 23:00:46.351,296593502.2543634,62.18
2022-07-03,52,1656889300622,2413290367.910295,8.277017046053025,2022-07-03 23:01:40.622,294065066.0341171,62.44
2022-07-04,76,1656975679408,2597398085.486081,8.80917796940258,2022-07-04 23:01:19.408,294851357.8120197,62.46
2022-07-05,100,1657062129577,2715371217.577217,9.216796784670764,2022-07-05 23:02:09.577,296888338.2777725,62.59
2022-07-06,124,1657148463411,2696487519.0444374,9.253354581828676,2022-07-06 23:01:03.411,295436090.2458625,62.81
2022-07-07,148,1657234928294,2786462074.598989,9.528569414204124,2022-07-07 23:02:08.294,294525905.90856755,62.83
2022-07-08,172,1657321358596,2772901402.6533,9.480434878602544,2022-07-08 23:02:38.596,293886768.4981583,62.85
2022-07-09,196,1657407758554,2724406790.811073,9.300012253670364,2022-07-09 23:02:38.554,296861848.28039294,62.74
2022-07-10,220,1657494060327,2631215239.164305,8.999972652817746,2022-07-10 23:01:00.327,293329946.0675834,62.81
2022-07-11,244,1657580445714,2656607502.5015936,9.064304029505998,2022-07-11 23:00:45.714,293525030.85015637,62.94
2022-07-12,268,1657666842829,2443657050.014608,8.32393018619782,2022-07-12 23:00:42.829,295953065.647551,62.98
2022-07-13,292,1657753308516,2334748204.231886,7.969563167522164,2022-07-13 23:01:48.516,293366409.758094,63.02
2022-07-14,316,1657839640114,2627112451.2001047,8.9663465861286,2022-07-14 23:00:40.114,294140854.89857864,63.11
2022-07-15,340,1657926058028,2741915566.386925,9.425002251741548,2022-07-15 23:00:58.028,294244662.0549966,63.25
2022-07-16,364,1658012510863,2724159358.883176,9.3106226324835,2022-07-16 23:01:50.863,293309100.8796473,63.3
2022-07-17,388,1658098822778,2735825262.881316,9.347673093017487,2022-07-17 23:00:22.778,294664673.2848934,63.38
2022-07-18,412,1658185315845,2862339766.6560745,9.769663493915315,2022-07-18 23:01:55.845,293918063.4647775,63.16
2022-07-19,436,1658271695177,3113177303.3501835,10.687483130149785,2022-07-19 23:01:35.177,295457700.83189404,63.1
2022-07-20,460,1658358007290,3090442191.324031,10.563837204636496,2022-07-20 23:00:07.290,296275839.127265,63.15
2022-07-21,484,1658444546673,3243503813.267519,11.114143418087714,2022-07-21 23:02:26.673,294632109.57769376,63.21
2022-07-22,508,1658530900337,3251184881.717014,11.068805455469334,2022-07-22 23:01:40.337,294790684.9896802,63.25
2022-07-23,532,1658617358970,3262834663.512722,11.163109680553694,2022-07-23 23:02:38.970,295260626.8906547,63.34
2022-07-24,556,1658703691456,3008340884.9919868,10.275551521116684,2022-07-24 23:01:31.456,295791380.7698432,63.54
2022-07-25,580,1658790020849,2938823258.134196,9.994702028661637,2022-07-25 23:00:20.849,294785737.5322473,63.57
2022-07-26,604,1658876409579,2829744129.057573,9.609283642453317,2022-07-26 23:00:09.579,296820245.5941008,63.6
2022-07-27,628,1658962820265,2974599975.2952423,10.205172112835664,2022-07-27 23:00:20.265,294943986.78704476,63.69
2022-07-28,652,1659049308934,3209930362.6195526,11.017328995784643,2022-07-28 23:01:48.934,294968411.1570294,63.68
2022-07-29,676,1659135709356,3241056880.745948,11.114731934827734,2022-07-29 23:01:49.356,294033447.1696141,63.58
2022-07-30,700,1659222160115,3311185991.995951,11.244323087246244,2022-07-30 23:02:40.115,294476240.7042207,63.67
2022-07-31,719,1659290463058,3187626905.3202186,10.888726643972642,2022-07-31 18:01:03.058,293474824.133591,63.67
