,Timestamp,Bonded_Ratio,Date
0,1654041600,62.5,2022-06-01
1,1654128000,62.54,2022-06-02
2,1654214400,62.68,2022-06-03
3,1654300800,62.75,2022-06-04
4,1654387200,62.67,2022-06-05
5,1654473600,62.7,2022-06-06
6,1654560000,62.84,2022-06-07
7,1654646400,62.96,2022-06-08
8,1654732800,62.95,2022-06-09
9,1654819200,62.94,2022-06-10
10,1654905600,62.87,2022-06-11
11,1654992000,62.56,2022-06-12
12,1655078400,62.58,2022-06-13
13,1655164800,62.63,2022-06-14
14,1655251200,62.63,2022-06-15
15,1655337600,62.92,2022-06-16
16,1655424000,62.75,2022-06-17
17,1655510400,62.63,2022-06-18
18,1655596800,62.37,2022-06-19
19,1655683200,62.09,2022-06-20
20,1655769600,62.12,2022-06-21
21,1655856000,62.17,2022-06-22
22,1655942400,62.21,2022-06-23
23,1656028800,62.23,2022-06-24
24,1656115200,62.18,2022-06-25
25,1656201600,62.21,2022-06-26
26,1656288000,62.18,2022-06-27
27,1656374400,62.17,2022-06-28
28,1656460800,62.15,2022-06-29
29,1656547200,62.22,2022-06-30
