,Timestamp,Bonded_Ratio,Date
0,1646092800,63.31,2022-03-01
1,1646179200,63.65,2022-03-02
2,1646265600,63.64,2022-03-03
3,1646352000,63.7,2022-03-04
4,1646438400,63.76,2022-03-05
5,1646524800,63.75,2022-03-06
6,1646611200,63.75,2022-03-07
7,1646697600,63.82,2022-03-08
8,1646784000,63.82,2022-03-09
9,1646870400,63.76,2022-03-10
10,1646956800,63.87,2022-03-11
11,1647043200,63.94,2022-03-12
12,1647129600,63.88,2022-03-13
13,1647216000,63.71,2022-03-14
14,1647302400,63.73,2022-03-15
15,1647388800,63.6,2022-03-16
16,1647475200,63.61,2022-03-17
17,1647561600,63.66,2022-03-18
18,1647648000,63.69,2022-03-19
19,1647734400,63.7,2022-03-20
20,1647820800,63.72,2022-03-21
21,1647907200,63.73,2022-03-22
22,1647993600,63.79,2022-03-23
23,1648080000,63.89,2022-03-24
24,1648166400,63.9,2022-03-25
25,1648252800,63.92,2022-03-26
26,1648339200,63.94,2022-03-27
27,1648425600,63.94,2022-03-28
28,1648512000,63.85,2022-03-29
29,1648598400,63.34,2022-03-30
30,1648684800,59.91,2022-03-31
