,Datetime,Timestamp,Marketcap,Price,TxFee,Bonded_Ratio,FeeValue,AggValue
0,2022-11-01,1667343804778,4142003735.099606,14.170188004188171,87.441225,64.11,1239.0585975665188,2.991447320693259e-07
1,2022-11-02,1667430127073,4134455066.325952,14.116630592629102,143.166578,64.11,2021.0296948368205,4.888261360723389e-07
2,2022-11-03,1667516476947,4032867921.171375,13.829077441702946,134.876878,64.2,1865.2227909571204,4.62505300797293e-07
3,2022-11-04,1667602863363,4436666317.489195,15.12328024848933,156.729466,64.35,2370.26363751408,5.342442879173891e-07
4,2022-11-05,1667689238659,4588728984.621137,15.723658281036515,151.587013,64.62,2383.50239225504,5.19425400855708e-07
5,2022-11-06,1667775653485,4507497415.224252,15.402044023457346,133.197419,64.67,2051.512511248894,4.551333749676326e-07
6,2022-11-07,1667862069092,4313236942.033141,14.733834584151264,130.703996,64.59,1925.7710565515683,4.46479310650579e-07
7,2022-11-08,1667948433890,4187798545.62795,14.316281802451696,145.841748,64.6,2087.911562930146,4.985702010689888e-07
8,2022-11-09,1668034911970,3595429734.939987,12.211044244180007,160.837793,64.47,1963.9974064592654,5.462483072255193e-07
9,2022-11-10,1668121299629,3640367337.832039,12.411441429773287,156.518138,64.49,1942.6157024841725,5.336317800392818e-07
10,2022-11-11,1668207713600,3597748789.518651,12.298487865613131,136.579053,64.39,1679.7158260174326,4.668796862390619e-07
11,2022-11-12,1668294042405,3420253219.776435,11.738848248540494,135.464262,64.29,1590.1944147185304,4.649347029406418e-07
12,2022-11-13,1668380404270,3239439606.139419,11.063154080905615,179.373533,64.45,1984.4370336154082,6.125865195493945e-07
13,2022-11-14,1668466896535,3102534150.927216,10.614925752227265,169.545336,64.48,1799.7111532764243,5.800777898733418e-07
14,2022-11-15,1668553233712,3165470447.4222674,10.810588796742818,131.516931,64.46,1421.7754608505982,4.491513929654249e-07
15,2022-11-16,1668639702780,3109409409.1048183,10.628470940253916,126.718656,64.63,1346.8255528840325,4.33145133265605e-07
16,2022-11-17,1668726111634,2978614320.2788663,10.183009531573289,124.164856,62.81,1264.3719121344247,4.244832583817198e-07
17,2022-11-18,1668812479762,2990896364.5993333,10.207969554954625,109.602276,62.08,1118.816696561734,3.7407404342196695e-07
18,2022-11-19,1668898894153,2929193269.8766165,10.010933884397998,104.589243,62.09,1047.035996692236,3.57448587452319e-07
19,2022-11-20,1668985271630,2936422003.4794016,10.053888496388796,118.88171,62.07,1195.2234566000288,4.0703395328866026e-07
20,2022-11-21,1669071713519,2747449634.049875,9.378317602229671,119.663707,62.07,1122.244249706154,4.0846763332724366e-07
21,2022-11-22,1669158075801,2795273540.4994454,9.53076132458954,113.309718,62.07,1079.927878014547,3.8634067913854005e-07
22,2022-11-23,1669244405701,2904857768.403141,9.924646478392711,213.63772,61.96,2120.278845449848,7.299079729522896e-07
23,2022-11-24,1669330890450,2978207446.955969,10.173996126226056,123.614368,61.96,1257.652101177882,4.222849225843319e-07
24,2022-11-25,1669417286225,2974304857.698724,10.170007409720606,107.244183,61.92,1090.6741357594326,3.6669883819619887e-07
25,2022-11-26,1669503644895,3034940486.0824065,10.353133902112145,116.60198,61.86,1207.1959121914022,3.97765925798989e-07
26,2022-11-27,1669590009923,3001612380.9983845,10.263274415024863,113.96675,61.86,1169.672029438535,3.896812382715064e-07
27,2022-11-28,1669676485970,2918005985.856218,9.951401668242932,111.919329,61.9,1113.7541973192297,3.8168331481075613e-07
28,2022-11-29,1669762869992,3005077268.283505,10.25518260617752,105.195427,62.02,1078.798313219817,3.589918717251569e-07
29,2022-11-30,1669806050722,3078958848.111534,10.549724681864324,47.424412,62.12,500.31448979930263,1.6249469852647377e-07
