,Date,Index,Timestamp,Marketcap,Price,TxFee,Bonded Ratio,FeeValue,AggValue
0,2022-04-01,16,1648854114319,8618663285.667263,29.557642074668312,133.473932,60.48,3945.174708354617,4.5774786386137127e-07
1,2022-04-02,40,1648940492233,9522899500.44738,32.66321128016362,189.013663,60.59,6173.7932094066455,6.48310234620937e-07
2,2022-04-03,64,1649026866793,9682947033.663012,33.06083639539066,193.253361,60.6,6389.11775088037,6.598319425551374e-07
3,2022-04-04,88,1649113352351,9476605321.36405,32.47037635673596,173.684417,60.6,5639.59838729027,5.951074457618663e-07
4,2022-04-05,112,1649199746657,9070967843.349655,30.98522033281407,165.808687,60.67,5137.618699789604,5.663804335450521e-07
5,2022-04-06,136,1649286183923,8619268358.278814,29.337570499612795,129.237125,62.0,3791.503265854771,4.398869031862814e-07
6,2022-04-07,160,1649372534044,8083752069.948417,27.73680805928204,124.018901,64.14,3439.8884527601017,4.2553116708613406e-07
7,2022-04-08,184,1649458945499,8371752872.545298,28.720583196046167,144.206005,64.14,4141.68056397195,4.947208340984793e-07
8,2022-04-09,208,1649545351410,8009736805.9929,27.29850715147481,134.876971,64.01,3681.93995741276,4.596830141357361e-07
9,2022-04-10,232,1649631775546,7988945988.817781,27.39065192873442,112.040715,64.2,3068.8682264115337,3.84139313334583e-07
10,2022-04-11,256,1649718085763,7844523395.245529,26.65897717746872,113.114735,64.2,3015.523138800422,3.844112620822948e-07
11,2022-04-12,280,1649804569209,7382830117.866297,25.216044949825623,108.225072,64.12,2729.0082802501142,3.696425675088975e-07
12,2022-04-13,304,1649890875498,7337945192.669152,25.054916482833697,130.595337,63.74,3272.0552615825213,4.4590892622793256e-07
13,2022-04-14,328,1649977227231,7320411595.687065,25.02436282369101,256.93044,61.47,6429.520551010573,8.783004161676682e-07
14,2022-04-15,352,1650063721474,7119367826.481751,24.324714790474093,185.146458,61.75,4503.634785316491,6.325891420533748e-07
15,2022-04-16,376,1650150134388,7145806987.939451,24.43392547398891,158.513409,61.97,3873.104822133923,5.420108363787142e-07
16,2022-04-17,400,1650236468123,7129776098.606758,24.365735025082184,147.999046,61.94,3606.105538800949,5.057810356072226e-07
17,2022-04-18,424,1650322943265,7001013920.194411,23.915951341789185,158.793691,61.97,3797.7021873391072,5.424503122875735e-07
18,2022-04-19,448,1650409267436,7211037587.150746,24.60080601383085,173.464843,62.14,4267.374952862625,5.917837622239835e-07
19,2022-04-20,472,1650495970160,7312864118.776214,24.998201170974067,160.349039,62.21,4008.4375344943664,5.481351040288667e-07
20,2022-04-21,496,1650582188994,7254082211.598212,24.74807559970134,157.942509,62.18,3908.7731531385093,5.388377246247575e-07
21,2022-04-22,520,1650668611885,6961231127.23829,23.795965118322595,170.079105,62.13,4047.196449935526,5.813909028389292e-07
22,2022-04-23,544,1650754959950,6844316292.361509,23.366927823486247,146.757614,62.05,3429.2745738850545,5.010397572818547e-07
23,2022-04-24,568,1650841422415,6811441486.137841,23.289780251122103,145.649961,62.13,3392.155585274504,4.980084747373924e-07
24,2022-04-25,592,1650927807427,6552225345.401548,22.331863906347955,154.781965,62.17,3456.5697775371127,5.275413459280649e-07
25,2022-04-26,616,1651014207657,6511915096.75511,22.25109300430308,138.636846,62.22,3084.821354169243,4.7371952925283237e-07
26,2022-04-27,640,1651100765384,6375095609.415768,21.814081597850222,132.999852,62.18,2901.2696240300033,4.5509429219303647e-07
27,2022-04-28,665,1651186980139,6331149685.62284,21.4994483196208,134.557723,62.14,2892.916811644351,4.56933883306181e-07
28,2022-04-29,689,1651273238006,6090183102.569403,20.82766269947773,178.610444,62.16,3720.038082235956,6.108253265269643e-07
29,2022-04-30,696,1651298618878,5710050969.944628,19.50102216907159,63.711074,62.17,1242.4310664893605,2.1758668583328054e-07
