,Timestamp,TxFee,Date
0,1648771200,133.473932,2022-04-01
1,1648857600,189.013663,2022-04-02
2,1648944000,193.253361,2022-04-03
3,1649030400,173.684417,2022-04-04
4,1649116800,165.808687,2022-04-05
5,1649203200,129.237125,2022-04-06
6,1649289600,124.018901,2022-04-07
7,1649376000,144.206005,2022-04-08
8,1649462400,134.876971,2022-04-09
9,1649548800,112.040715,2022-04-10
10,1649635200,113.114735,2022-04-11
11,1649721600,108.225072,2022-04-12
12,1649808000,130.595337,2022-04-13
13,1649894400,256.93044,2022-04-14
14,1649980800,185.146458,2022-04-15
15,1650067200,158.513409,2022-04-16
16,1650153600,147.999046,2022-04-17
17,1650240000,158.793691,2022-04-18
18,1650326400,173.464843,2022-04-19
19,1650412800,160.349039,2022-04-20
20,1650499200,157.942509,2022-04-21
21,1650585600,170.079105,2022-04-22
22,1650672000,146.757614,2022-04-23
23,1650758400,145.649961,2022-04-24
24,1650844800,154.781965,2022-04-25
25,1650931200,138.636846,2022-04-26
26,1651017600,132.999852,2022-04-27
27,1651104000,134.557723,2022-04-28
28,1651190400,178.610444,2022-04-29
29,1651276800,63.711074,2022-04-30
