,Timestamp,Bonded_Ratio,Date
0,1651363200,62.21,2022-05-01
1,1651449600,62.16,2022-05-02
2,1651536000,61.65,2022-05-03
3,1651622400,61.4,2022-05-04
4,1651708800,61.5,2022-05-05
5,1651795200,61.69,2022-05-06
6,1651881600,61.95,2022-05-07
7,1651968000,61.97,2022-05-08
8,1652054400,62.0,2022-05-09
9,1652140800,62.07,2022-05-10
10,1652227200,62.1,2022-05-11
11,1652313600,62.26,2022-05-12
12,1652400000,62.17,2022-05-13
13,1652486400,62.06,2022-05-14
14,1652572800,62.04,2022-05-15
15,1652659200,61.92,2022-05-16
16,1652745600,61.84,2022-05-17
17,1652832000,62.11,2022-05-18
18,1652918400,62.12,2022-05-19
19,1653004800,62.12,2022-05-20
20,1653091200,61.97,2022-05-21
21,1653177600,61.9,2022-05-22
22,1653264000,61.85,2022-05-23
23,1653350400,61.86,2022-05-24
24,1653436800,61.81,2022-05-25
25,1653523200,61.74,2022-05-26
26,1653609600,61.72,2022-05-27
27,1653696000,61.71,2022-05-28
28,1653782400,61.71,2022-05-29
29,1653868800,61.73,2022-05-30
30,1653955200,61.74,2022-05-31
