,Timestamp,TxFee,Date
0,1661990400,68.858357,2022-09-01
1,1662076800,120.459406,2022-09-02
2,1662163200,105.377035,2022-09-03
3,1662249600,113.701355,2022-09-04
4,1662336000,107.6279,2022-09-05
5,1662422400,118.015951,2022-09-06
6,1662508800,112.924951,2022-09-07
7,1662595200,131.679101,2022-09-08
8,1662681600,176.810069,2022-09-09
9,1662768000,149.706344,2022-09-10
10,1662854400,156.471708,2022-09-11
11,1662940800,159.983431,2022-09-12
12,1663027200,149.200361,2022-09-13
13,1663113600,143.747453,2022-09-14
14,1663200000,157.390494,2022-09-15
15,1663286400,159.111319,2022-09-16
16,1663372800,155.180387,2022-09-17
17,1663459200,148.284327,2022-09-18
18,1663545600,154.416879,2022-09-19
19,1663632000,143.987589,2022-09-20
20,1663718400,125.058246,2022-09-21
21,1663804800,296.316512,2022-09-22
22,1663891200,442.117189,2022-09-23
23,1663977600,95.521876,2022-09-24
24,1664064000,106.274454,2022-09-25
25,1664150400,116.867085,2022-09-26
26,1664236800,112.845642,2022-09-27
27,1664323200,109.070232,2022-09-28
28,1664409600,122.376311,2022-09-29
29,1664496000,45.719709,2022-09-30
