,Timestamp,Bonded_Ratio,Date
0,1656633600,62.23,2022-07-01
1,1656720000,62.18,2022-07-02
2,1656806400,62.44,2022-07-03
3,1656892800,62.46,2022-07-04
4,1656979200,62.59,2022-07-05
5,1657065600,62.81,2022-07-06
6,1657152000,62.83,2022-07-07
7,1657238400,62.85,2022-07-08
8,1657324800,62.74,2022-07-09
9,1657411200,62.81,2022-07-10
10,1657497600,62.94,2022-07-11
11,1657584000,62.98,2022-07-12
12,1657670400,63.02,2022-07-13
13,1657756800,63.11,2022-07-14
14,1657843200,63.25,2022-07-15
15,1657929600,63.3,2022-07-16
16,1658016000,63.38,2022-07-17
17,1658102400,63.16,2022-07-18
18,1658188800,63.1,2022-07-19
19,1658275200,63.15,2022-07-20
20,1658361600,63.21,2022-07-21
21,1658448000,63.25,2022-07-22
22,1658534400,63.34,2022-07-23
23,1658620800,63.54,2022-07-24
24,1658707200,63.57,2022-07-25
25,1658793600,63.6,2022-07-26
26,1658880000,63.69,2022-07-27
27,1658966400,63.68,2022-07-28
28,1659052800,63.58,2022-07-29
29,1659139200,63.67,2022-07-30
30,1659225600,63.67,2022-07-31
