,Timestamp,Bonded_Ratio,Date
0,1659312000,63.75,2022-08-01
1,1659398400,63.77,2022-08-02
2,1659484800,63.79,2022-08-03
3,1659571200,64.5,2022-08-04
4,1659657600,65.34,2022-08-05
5,1659744000,65.35,2022-08-06
6,1659830400,65.37,2022-08-07
7,1659916800,65.39,2022-08-08
8,1660003200,65.39,2022-08-09
9,1660089600,65.42,2022-08-10
10,1660176000,65.48,2022-08-11
11,1660262400,65.47,2022-08-12
12,1660348800,65.47,2022-08-13
13,1660435200,65.47,2022-08-14
14,1660521600,65.47,2022-08-15
15,1660608000,65.51,2022-08-16
16,1660694400,65.6,2022-08-17
17,1660780800,65.56,2022-08-18
18,1660867200,65.56,2022-08-19
19,1660953600,65.54,2022-08-20
20,1661040000,65.56,2022-08-21
21,1661126400,65.58,2022-08-22
22,1661212800,65.65,2022-08-23
23,1661299200,65.72,2022-08-24
24,1661385600,65.8,2022-08-25
25,1661472000,65.83,2022-08-26
26,1661558400,65.77,2022-08-27
27,1661644800,65.79,2022-08-28
28,1661731200,65.85,2022-08-29
29,1661817600,65.9,2022-08-30
30,1661904000,65.93,2022-08-31
