,Timestamp,TxFee,Date
0,1659312000,70.440155,2022-08-01
1,1659398400,130.847688,2022-08-02
2,1659484800,136.645312,2022-08-03
3,1659571200,132.551446,2022-08-04
4,1659657600,131.155132,2022-08-05
5,1659744000,113.534909,2022-08-06
6,1659830400,129.335005,2022-08-07
7,1659916800,141.866518,2022-08-08
8,1660003200,119.663764,2022-08-09
9,1660089600,127.4806,2022-08-10
10,1660176000,127.983621,2022-08-11
11,1660262400,111.14297,2022-08-12
12,1660348800,106.447389,2022-08-13
13,1660435200,113.80845,2022-08-14
14,1660521600,111.746038,2022-08-15
15,1660608000,117.694577,2022-08-16
16,1660694400,115.862943,2022-08-17
17,1660780800,117.892731,2022-08-18
18,1660867200,111.890252,2022-08-19
19,1660953600,103.920574,2022-08-20
20,1661040000,103.732209,2022-08-21
21,1661126400,108.099284,2022-08-22
22,1661212800,125.407057,2022-08-23
23,1661299200,132.599237,2022-08-24
24,1661385600,132.139221,2022-08-25
25,1661472000,124.916138,2022-08-26
26,1661558400,112.684979,2022-08-27
27,1661644800,113.783764,2022-08-28
28,1661731200,150.424063,2022-08-29
29,1661817600,121.942681,2022-08-30
30,1661904000,50.565936,2022-08-31
