,Metric,Yield
0,P_ATOM,-0.25549860885782
1,M_ATOM,-0.2566499102788733
2,P_OSMO,-0.3442339184734378
3,M_OSMO,-0.3245198596496577
4,P_JUNO,-0.4330600026661102
5,M_JUNO,-0.4226860537720007
6,P_ROWAN,-0.8457323276812037
7,M_ROWAN,-0.8362896357882195
8,P_EVMOS,-0.6596045548781602
9,M_EVMOS,-0.6353968644315112
10,P_STARS,-0.3073659275895729
11,M_STARS,-0.2796367856334151
12,P_AKASH,0.0363433146797416
13,M_AKASH,0.049045088300601
14,P_SECRET,-0.1148185701636107
15,M_SECRET,-0.101183157817682
16,P_KAVA,-0.3702664986370582
17,M_KAVA,-0.3161104838909246
18,P_ETH,-0.2016451500047191
19,M_ETH,-0.2014359061732672
20,P_BTC,-0.1720362614037538
21,M_BTC,-0.1710619615087143
