,Timestamp,TxFee,Date
0,1643673600,98.098352,2022-02-01
1,1643760000,129.382973,2022-02-02
2,1643846400,139.96581,2022-02-03
3,1643932800,142.919223,2022-02-04
4,1644019200,139.768795,2022-02-05
5,1644105600,140.45132,2022-02-06
6,1644192000,158.024959,2022-02-07
7,1644278400,141.636292,2022-02-08
8,1644364800,132.070852,2022-02-09
9,1644451200,124.092326,2022-02-10
10,1644537600,128.595102,2022-02-11
11,1644624000,123.939738,2022-02-12
12,1644710400,122.374834,2022-02-13
13,1644796800,116.774975,2022-02-14
14,1644883200,133.871986,2022-02-15
15,1644969600,132.761128,2022-02-16
16,1645056000,150.1305,2022-02-17
17,1645142400,149.712253,2022-02-18
18,1645228800,106.522118,2022-02-19
19,1645315200,102.518056,2022-02-20
20,1645401600,134.356103,2022-02-21
21,1645488000,144.356314,2022-02-22
22,1645574400,174.029466,2022-02-23
23,1645660800,149.344275,2022-02-24
24,1645747200,137.031341,2022-02-25
25,1645833600,138.790869,2022-02-26
26,1645920000,140.997514,2022-02-27
27,1646006400,39.698156,2022-02-28
